iter	MultiClass
256	0.1285477245
257	0.1281034971
258	0.1273670853
259	0.1272491051
260	0.127041611
261	0.1265078202
262	0.126443337
263	0.1262037736
264	0.1252890741
265	0.1248733881
266	0.1239861784
267	0.1235533742
268	0.1233237021
269	0.122907033
270	0.1222919182
271	0.1218404418
272	0.1214726642
273	0.1210532616
274	0.1204624249
275	0.1198797361
276	0.1197333124
277	0.1196518836
278	0.1193009559
279	0.11895404
280	0.1182378093
281	0.1176780121
282	0.1168658694
283	0.1163077546
284	0.1159714783
285	0.1154551723
286	0.1150146213
287	0.1141891459
288	0.1137476236
289	0.1134821123
290	0.1127172552
291	0.1124631345
292	0.1114982592
293	0.1107109075
294	0.1098920699
295	0.1089836724
296	0.1082787862
297	0.107836561
298	0.1076355129
299	0.1073111518
300	0.1067937539
301	0.1062661414
302	0.1056601053
303	0.1053828098
304	0.1049656209
305	0.1047199557
306	0.1044785634
307	0.1043881889
308	0.1042198606
309	0.1040753161
310	0.1033114261
311	0.1024320124
312	0.1017968801
313	0.1014198262
314	0.1008978617
315	0.100540499
316	0.1001764204
317	0.09991383813
318	0.09984118933
319	0.09947756812
320	0.09894093238
321	0.09859152154
322	0.09843053438
323	0.09774095697
324	0.09754111206
325	0.09734038954
326	0.0968584293
327	0.09626293036
328	0.09605618508
329	0.09566898653
330	0.09490426812
331	0.09450077697
332	0.09403668647
333	0.0936853101
334	0.09346190262
335	0.09327343983
336	0.09307390865
337	0.09274330793
338	0.09253715117
339	0.09197013859
340	0.0916368905
341	0.09142610702
342	0.09103190992
343	0.09074127439
344	0.09038692138
345	0.08988997715
346	0.08935215791
347	0.08905367289
348	0.08894286776
349	0.0883254071
350	0.08795816376
351	0.08757380086
352	0.08725550743
353	0.08692408116
354	0.08662127688
355	0.08614246129
356	0.08588107378
357	0.08565387353
358	0.08517037994
359	0.08453572785
360	0.08430589793
361	0.08393754546
362	0.08345852978
363	0.08294268374
364	0.08234033744
365	0.08206096252
366	0.08187991435
367	0.08178934514
368	0.08155804094
369	0.08132134744
370	0.08119044725
371	0.08112295079
372	0.08094815601
373	0.08064938102
374	0.08020495519
375	0.07998523195
376	0.07980341758
377	0.07961327677
378	0.0795480862
379	0.07921107085
380	0.07907192784
381	0.07888844524
382	0.07845753493
383	0.0782860356
384	0.07796146775
385	0.07791860289
386	0.07740468817
387	0.07705917495
388	0.07677498482
389	0.07654181089
390	0.07637529459
391	0.07614439195
392	0.0759874855
393	0.07567925898
394	0.07553448267
395	0.07534585309
396	0.07495820719
397	0.07486104948
398	0.07446674139
399	0.07428937125
400	0.07406783713
401	0.0736129295
402	0.07318707847
403	0.07296154907
404	0.07283839068
405	0.07236637682
406	0.07233045231
407	0.07212168105
408	0.07185229235
409	0.07138384002
410	0.07096706515
411	0.07065878444
412	0.07045732716
413	0.07039545266
414	0.07024631787
415	0.07007938873
416	0.06994689874
417	0.06976766537
418	0.06966244122
419	0.06950369687
420	0.06930643824
421	0.06900436131
422	0.06870158934
423	0.06859427509
424	0.06838345724
425	0.06824072675
426	0.06802454263
427	0.06782895791
428	0.06766270666
429	0.06730986185
430	0.06724298898
431	0.06703005827
432	0.06694138275
433	0.06671427996
434	0.06637578755
435	0.0660658407
436	0.06600531892
437	0.06570538158
438	0.06538591665
439	0.06495424051
440	0.06486347657
441	0.06473636175
442	0.0646245007
443	0.06440916624
444	0.06428552623
445	0.06404140288
446	0.06376674471
447	0.06363953096
448	0.06352132368
449	0.06322520606
450	0.06291221973
451	0.06262283446
452	0.06240371289
453	0.06212534051
454	0.06193066263
455	0.0618112874
456	0.06167679335
457	0.06137298981
458	0.0611120933
459	0.06094848994
460	0.06086519826
461	0.06061099528
462	0.06050606295
463	0.06044284614
464	0.06023187892
465	0.06012690239
466	0.05994330943
467	0.05972879358
468	0.05950486166
469	0.05934167118
470	0.05920221133
471	0.05889696556
472	0.05878153726
473	0.05842956206
474	0.05824303154
475	0.0581246281
476	0.05798848677
477	0.05781363974
478	0.05775101495
479	0.0576724544
480	0.05757427296
481	0.05745621862
482	0.05724272929
483	0.0571197777
484	0.0570053458
485	0.05681019735
486	0.05633939879
487	0.05630801256
488	0.05618641212
489	0.05600956752
490	0.05571894645
491	0.05561767627
492	0.05544173527
493	0.05532805222
494	0.05529278529
495	0.05520999394
496	0.05514113992
497	0.0550714879
498	0.05498602637
499	0.05485965597
500	0.05464712496
501	0.0545678829
502	0.05433997425
503	0.05423265225
504	0.05408153027
505	0.05396378179
506	0.05381495443
507	0.05366066124
508	0.05349836254
509	0.05341442896
510	0.05331632709
511	0.05312790208
512	0.0529504166
513	0.05279097161
514	0.05275337827
515	0.05257637175
