iter	Passed	Remaining
400	16402	318675
401	16440	318593
402	16478	318489
403	16515	318375
404	16552	318261
405	16590	318170
406	16626	318020
407	16662	317902
408	16700	317801
409	16754	318005
410	16796	317980
411	16833	317869
412	16871	317780
413	16909	317687
414	16946	317575
415	16986	317508
416	17021	317371
417	17060	317287
418	17097	317178
419	17134	317077
420	17171	316956
421	17209	316865
422	17246	316753
423	17284	316660
424	17322	316570
425	17360	316483
426	17397	316379
427	17434	316270
428	17472	316166
429	17510	316079
430	17547	315973
431	17589	315966
432	17627	315871
433	17665	315781
434	17702	315681
435	17741	315598
436	17779	315508
437	17817	315434
438	17855	315342
439	17892	315242
440	17929	315135
441	17969	315067
442	18005	314960
443	18044	314878
444	18081	314786
445	18119	314688
446	18156	314590
447	18196	314534
448	18232	314419
449	18269	314324
450	18311	314296
451	18348	314193
452	18385	314092
453	18423	314009
454	18460	313917
455	18498	313824
456	18535	313728
457	18573	313647
458	18610	313542
459	18648	313458
460	18685	313361
461	18722	313260
462	18761	313185
463	18799	313113
464	18838	313042
465	18880	313019
466	18917	312925
467	18959	312919
468	18997	312834
469	19038	312793
470	19090	312941
471	19128	312857
472	19164	312756
473	19202	312666
474	19240	312579
475	19278	312498
476	19315	312411
477	19352	312309
478	19389	312220
479	19431	312199
480	19468	312108
481	19508	312057
482	19546	311979
483	19583	311883
484	19620	311781
485	19659	311713
486	19696	311626
487	19735	311561
488	19774	311499
489	19814	311452
490	19857	311445
491	19895	311377
492	19937	311355
493	19983	311403
494	20077	312190
495	20123	312233
496	20173	312343
497	20221	312420
498	20266	312448
499	20307	312404
500	20348	312368
501	20389	312338
502	20429	312283
503	20484	312465
504	20530	312506
505	20569	312445
506	20608	312384
507	20659	312497
508	20721	312783
509	20764	312775
510	20803	312708
511	20855	312826
512	20901	312874
513	20946	312899
514	20994	312968
515	21038	312970
